mitqut	(mitq)+ut
hiurjuktuuq	hi+(urjuk)+tuuq
aqhaluktuq	(aqha)+luk+tuq
itiruq	(iti)+ruq
qunmuktuq	(qunm)+uk+tuq
tammaijaa	(tammai)+jaa
aannuraariiqtuq	(aannuraa)+riiq+tuq
aanniaqtailiniq	a+(anniaqtaili)+niq
akulliqun	a+(kulliq)+un
imnaiq	(imna)+iq
hitiliuqtuq	(hiti)+liuq+tuq
kakillarnaq	ka+(killarna)+q
unnirluktuq	(unni)+rluk+tuq
puijuq	(pui)+juq
taimak	ta+(ima)+k
tui	(tui)
iluviqtaa	(iluv)+iq+taa
angivittuq	ang+(iv)+it+tuq
inikhaqqukittuq	(inikhaqqu)+kit+tuq
qipiktaa	qi+(pik)+taa
akhatquq	a+(khatq)+uq
puvitqurnaqtuq	puvi+(tqur)+naq+tuq
quagjuk	qu+(agj)+uk
uliisiqtuq	(uliis)+iqtuq
ikuttiaqtuq	(ikutti)+aq+tuq
nigiqtuq	(nig)+iqtuq
imuniq	(imu)+niq
mahaktuq	(mah)+ak+tuq
uvagut	(uvag)+ut
qalluti	(qalluti)
havgut	(havg)+ut
mitquit	(mitqu)+it
iiqtuq	(i)+iqtuq
uuktuqtaa	(uuk)+tuq+taa
unnukpat	(unnuk)+pat
aullarnanga	a+(ullarna)+nga
niglaktuq	n+(igl)+ak+tuq
init	(in)+it
pualuk	(pualu)+k
iqalukhiuqtuq	(iqaluk)+hiuq+tuq
iqilgagiaq	(iqilgagi)+aq
ugjuk	(ugju)+k
imiqtaqti	(imiqt)+aq+ti
minguliq	(minguli)+q
niuqqaqtuq	(niuqq)+aq+tuq
kiilliq	ki+(i)+lliq
halumajuq	(haluma)+juq
hivu	(hivu)
nigaqtuq	(nig)+aq+tuq
nutiblik	(nutib)+lik
understand	(understand)
ikittijuq	(iki)+ttijuq
aaktuut	a+(aktu)+ut
nipliqtuq	n+(ip)+liq+tuq
urjuk	(urju)+k
anguniaqti	ang+(uni)+aq+ti
qaamiutaq	qa+(a)+miutaq
qanniq	qa+(n)+niq
akun’nganiittuq	(akun’ngani)+it+tuq
qattiniq	qa+(tti)+niq
marlungajuq	m+(arlunga)+juq
urviujaq	(urviuj)+aq
nagligijaa	(nagli)+gijaa
anarnat	a+(narna)+t
ivalukhaun	(ivalukha)+un
attirniit	att+irni+(i)+t
akituvallaaqtuq	(akituvall)+aaq+tuq
anngut	(anng)+ut
aqubliqtuq	a+(qubl)+iqtuq
qun’ngiaqtuq	qu+(n’ngi)+aq+tuq
tunutaa	(tunu)+taa
aunginnannguqtuq	a+(unginnannguq)+tuq
piksaliut	(piksali)+ut
angitqijaq	ang+(itqij)+aq
havaktuq	(hav)+ak+tuq
tingittaitkun	(tingittai)+t+kun
umik	(u)+mik
nauligaq	(nauli)+gaq
aippiut	(aippi)+ut
niqiliqivik	niqi+(liqi)+vik
uqhurjuaqtauti	(uqhurjuaqta)+uti
kipaqati	(kipa)+qati
higaakuvik	(higaaku)+vik
hivajauti	hi+(vaja)+uti
makaqhuqtuq	(makaq)+hu+qtuq
hiqiraqtuq	(hiqir)+aq+tuq
ilgaak	(ilga)+ak
ajuqhittuq	a+(juqh)+it+tuq
iritaqtuq	(irit)+aq+tuq
kigutigikhaut	kigu+(tigikha)+ut
tarrijaut	(tarrija)+ut
hamma	(hamm)+a
imaiqtaa	(ima)+iq+taa
kiglingani	ki+(gling)+ani
paatuliiq	paa+(tuli)+iq
qin’ngaut	(qin’nga)+ut
qulittaq	qu+(litta)+q
amrit	(am)+rit
tikitinnanuk	(tikitinna)+nuk
aittuuti	(aittu)+uti
hamna	(ham)+na
atiq	a+(ti)+q
iliffi	(ili)+ffi
anaujaa	a+(nau)+jaa
algumuuqtuq	a+(lgumuuq)+tuq
aki	(aki)
huraaqhiuqtuq	(huraaq)+hiuq+tuq
illaujaq	(illauj)+aq
tivjariktuq	(tivja)+rik+tuq
kimikatiqaqqin	(kimikatiqa)+qqin
nagjungmiktaa	(nagjung)+mik+taa
hatqiqtuq	(hatq)+iqtuq
patau	(patau)
qaplunaaq	(qaplu)+naaq
tingittaipkun	(tingittai)+pkun
arvinilitpingahuat	(arvini)+lit+pinga+hu+at
ukkuhikhaq	(ukkuhi)+khaq
im’run	(im’r)+un
nuijaaqpak	n+(uijaaq)+pak
aumaliuqtuq	(auma)+liuq+tuq
munaqhi	(mu)+naqhi
qajaq	(qaja)+q
aullaqtinnanuk	aullaq+(tinna)+nuk
malruuktaqtut	malru+(uk)+taq+tut
mivvik	(miv)+vik
haputi	(hap)+uti
aquani	(aqu)+ani
akiruq	(aki)+ruq
arnalluq	(arnall)+uq
kakivak	ka+(ki)+vak
kapuraun	(kapura)+un
nakitqaivit	(nakitqai)+vit
mamianaq	(mamia)+naq
uitajuq	(uita)+juq
inukkat	(inu)+kkat
qurluqtuq	(qurluq)+tuq
agiaqtuq	(agi)+aq+tuq
puptajuq	(pupta)+juq
maamaktuq	(maamak)+tuq
aliqak	(aliqa)+k
iviangiilitaq	(iviangi)+ilitaq
kiluuttaq	(kiluutt)+aq
titqaun	(titqa)+un
irnikhaq	(irni)+khaq
kigliq	(kig)+liq
maniilaq	(maniil)+aq
aluijarvik	a+(luij)+arvik
puvalajuq	(puvala)+juq
ivik	(i)+vik
qiuvik	qi+(u)+vik
naammajjavutit	(naammajjavu)+tit
kangiqhimanngittuq	kang+(iqhima)+nngit+tuq
tii	(tii)
itquqtuq	(itquq)+tuq
anarvik	a+(n)+arvik
imaruqtivia	(imaruqtivia)
itingmiktaa	(iting)+mik+taa
tahinnuaq	(tahi)+nnuaq
apqut	(apqu)+t
aihiqtuq	a+(i)+hiq+tuq
mikhijuq	(mik)+hi+juq
pataliqun	(pata)+liq+un
titqiaq	(titqi)+aq
iquutikhaut	(iquutikha)+ut
naunaitkutaq	(naunaitk)+ut+aq
irniq	(ir)+niq
quglugiaq	(quglu)+gi+aq
hungajangajuq	hu+(ngajanga)+juq
aluktaa	(aluk)+taa
qiuk	qi+(u)+k
attiaq	a+(tti)+aq
agiraq	(agir)+aq
kauttuaq	ka+(uttu)+aq
nangutaa	(nangu)+taa
itiktaqtuq	(itik)+taqtuq
nakuujuq	(nakuu)+juq
pinniqtuq	(pinn)+iqtuq
havilqhiaq	havi+(lqhi)+aq
uviluq	(uvil)+uq
ataaguuqtaa	(ataagu)+uq+taa
iluittunnguqtuq	(iluittunn)+guq+tuq
itiq	(iti)+q
angajun’nguq	(angaju)+n’nguq
kivijuq	ki+(vi)+juq
numiktirijuq	numik+(tiri)+juq
nipalliqtuq	(nipal)+liq+tuq
tupaktuq	(tup)+ak+tuq
itqanaijaqtuq	(itqana)+ijaqtuq
unnuliqtuq	(unnu)+liq+tuq
arvinilithitamaat	(arvini)+lit+hi+tamaat
akuqtujuq	a+(kuqt)+ujuq
ivalukhaq	(ivalukha)+q
inuk	(inu)+k
naarliqtuq	(naar)+liq+tuq
mahak	(mah)+ak
havangtinnanga	havang+(tinna)+nga
ilitarnaqtuq	(ilitarn)+aq+tuq
taliqpiani	(taliqpi)+ani
tarraq	(tarraq)
ajurnarmat	(ajurnar)+ma+t
niviuvarjuk	(niviuva)+rj+uk
nattiq	(natt)+iq
nungulaittumun	(nungulaittum)+un
akiraqtuqtuq	(akiraq)+tuq+tuq
qajainnaq	(qaja)+innaq
aputaijaijuq	(aputaij)+aijuq
qaalluviaq	qa+(alluvi)+aq
aikhiutijaa	a+(ikhiuti)+jaa
pukuktuq	(puk)+uk+tuq
ivajuq	(iva)+juq
qinmiqpak	qinmi+(q)+pak
aullaqtinnatik	aullaq+(tinna)+tik
amaruq	(ama)+ruq
nirrit	(nirri)+t
apqutailiutaujuq	(apqutailiuta)+ujuq
qaplunaavjak	(qaplu)+naavjak
ilagiik	(ila)+giik
kiahik	ki+(ahi)+k
pualritiik	(pualri)+tiik
aijaa	(ai)+jaa
kigun	(kig)+un
aulattiji	(aulatti)+ji
nahaq	(naha)+q
tunin’nguitkutikhaq	(tunin’nguitk)+utikhaq
humunngauyit	(hu)+munngau+yit
natiruvilaqijuq	(natiruvi)+laqi+juq
putuligaq	putu+(li)+gaq
akitujuq	a+(kitu)+juq
mikilirarmiaq	(mikilir)+armiaq
angunnait	angun+(na)+it
tuhaqtuq	(tu)+haq+tuq
tamaita	(tama)+ita
angak	(ang)+ak
agluliuqtuq	(aglu)+liuq+tuq
ata	(a)+ta
angmagiaq	(angma)+gi+aq
aqilgivik	a+(qilgi)+vik
qapalaqijuq	qa+(pa)+laqi+juq
kauttuarminunngaqtaa	ka+(uttuarmi)+nunngaq+taa
hitaakik	(hitaaki)+k
tiguaq	(tigu)+aq
qujahuktuq	(quja)+huk+tuq
angujuq	(angu)+juq
atanikittuq	a+(tanik)+it+tuq
naittuq	(na)+it+tuq
qin’ngurluktuq	(qin’ngu)+rluk+tuq
tiguaqhiik	(tiguaqhiik)
atuqtuq	(a)+tuq+tuq
ilikkuuqtuq	(ili)+kkuuq+tuq
tatqiqhiut	(tatqi)+qhi+ut
humi	(humi)
akit	(aki)+t
tuffiuqtuq	(tuffiuq)+tuq
kigulliuqtuq	kigu+(l)+liuq+tuq
taliqpingmuuqtuq	(taliqpi)+ngmuuq+tuq
nujuittuq	(nuju)+it+tuq
pilaut	(pila)+ut
naliat	(nali)+at
angunahuaqtuq	angun+(ahu)+aq+tuq
hiitquaqtuq	(hiitqu)+aq+tuq
tiiliurun	(tiiliur)+un
piiqtuq	(pi)+iqtuq
kajuqtuq	ka+(juq)+tuq
ulrujaaqtuq	(ulruj)+aaq+tuq
amaulikkaaq	(amaulikka)+aq
qanik	(qani)+k
avgut	(avg)+ut
angilrauliqtuq	(angilrau)+liq+tuq
huqqaq	hu+(qqa)+q
quinangnaqtuq	qu+(inang)+naq+tuq
ikkitit	(ikki)+tit
avguumattiarniq	(avguumattiar)+niq
uqittuq	(uq)+it+tuq
ajakutaaq	a+(jakuta)+aq
iliphi	(iliphi)
hiqquqtijjuti	(hiqquqtijj)+uti
kaugvik	ka+(u)+g+vik
tungungajuq	(tungunga)+juq
tatqiq	(tatqi)+q
tamuajuq	ta+(mua)+juq
aiktautituq	a+(iktauti)+tuq
ihaqutait	(ihaquta)+it
katittait	ka+(titta)+it
kuplu	k+(uplu)
pikijuq	p+(iki)+juq
inuinnaq	(inu)+innaq
titiraqtaa	(titir)+aq+taa
niujjivik	(niujji)+vik
algaun	(alga)+un
qilgiqtuq	(qilgiq)+tuq
mumiqtuq	(mum)+iqtuq
aniqhaaktuq	a+(niqha)+ak+tuq
uqumaittuq	(uquma)+it+tuq
qiliqtaa	(qil)+iq+taa
iijji	(iijji)
kiguhiqquti	kigu+(hiqq)+uti
auviq	(auv)+iq
aukhittiaqhimaittuq	a+(ukhittiaqhima)+it+tuq
huluk	hu+(lu)+k
qimirluk	qi+(mi)+rluk
nauk	n+(a)+uk
nigaqtaa	(nig)+aq+taa
aukhiqtuqtuq	(aukh)+iqtuq+tuq
kiguhiqqut	kigu+(hiqq)+ut
iqalgagiaq	(iqalga)+gi+aq
nipikhaun	n+ipik+(ha)+un
tajjagu	(tajja)+gu
tuvaaq	(tuva)+aq
uilgaqtuq	(uilg)+aq+tuq
tatqamunga	(tatqamu)+nga
havaliqtut	(hava)+liq+tut
ajjikiiktuk	(ajjikiiktuk)
quana	qu+(a)+na
qujajuq	(quja)+juq
tahin’ngajuq	ta+(hin’nga)+juq
iharuq	(iha)+ruq
tugliq	(tugliq)
algiqtuq	a+(lg)+iqtuq
iijjiraaluk	(iijji)+raaluk
nakuugijaa	(nakuu)+gijaa
aqiatuhuktuq	(aqiatu)+huk+tuq
utimut	(utim)+ut
ipummingajuq	(ipumm)+ingajuq
aullaqtinnata	aullaq+(tinna)+ta
iqhinaqtuq	(iqhi)+naq+tuq
qaluiraqtuq	qa+(luir)+aq+tuq
huli	(huli)
tatattaa	ta+(tat)+taa
pinahugijaa	p+(inahu)+gijaa
unaguiqhiqtuq	una+gu+(iqhiq)+tuq
aulajuq	a+(ula)+juq
anuraiqtuq	(anura)+iqtuq
nigituraqtuq	(nigitur)+aq+tuq
ikhun	(ikh)+un
ukiaq	(ukia)+q
aannuraaqtuq	(aannuraaq)+tuq
ataatattiaq	a+(taata)+ttiaq
taliqpimni	(taliqpi)+mni
kanna	ka+(nna)
uittuq	(u)+it+tuq
kinnguqtaa	ki+(nng)+uq+taa
ubluliuqtuq	(ublu)+liuq+tuq
ukiuqtuq	(ukiuq)+tuq
pualriti	(pualri)+ti
qiluktuq	(qi)+luk+tuq
aajjigijaa	a+(ajjigijaa)
ituk	(it)+uk
kipijaa	ki+(pi)+jaa
apqutaiqtuq	(apquta)+iqtuq
uanmun	(uanm)+un
ukiuq	(ukiuq)
pattitigijaa	(pattiti)+gijaa
augiaq	a+(u)+gi+aq
hilarjuaq	(hila)+rj+uaq
irinahuktuq	(irina)+huk+tuq
higaarjuaq	(higaa)+rj+uaq
tatatpiaqtaa	ta+(tatpi)+aq+taa
niujaujuq	(niuja)+ujuq
qalvaaq	(qalva)+aq
nattiaq	(na)+ttiaq
nuliaq	(nu)+liaq
haqiktuq	(haqik)+tuq
ikajuqti	(ikajuq)+ti
kinauvit	ki+(nau)+vit
angiglijuq	ang+(igli)+juq
kapurauti	(kapura)+uti
katimavik	ka+(tima)+vik
kingullirmi	(kingullir)+mi
nanuq	(nanuq)
pigaaqtuq	p+(iga)+aq+tuq
ilaaqtuqtaa	(ilaaq)+tuq+taa
uqauhirijaa	(uqauhi)+rijaa
publa	publ+(a)
hunagaijaijuq	huna+(gaij)+aijuq
itqujaq	(itquj)+aq
taffi	(ta)+ffi
anmut	(anm)+ut
an’rajuktuq	a+(n’raj)+uk+tuq
kappiagijaa	(kappia)+gijaa
tikittuq	(ti)+kit+tuq
akiraqtuqtaa	(akiraq)+tuq+taa
atauhiq	(atauhi)+q
nibliqtuq	(nibl)+iqtuq
kammak	(ka)+mmak
qalahiq	qa+(lahi)+q
tiriajaaq	(tiriaja)+aq
ahiqquq	a+(hiqq)+uq
ilihaqtaa	(ilihaq)+taa
tiriaq	(tiri)+aq
nikhaaktuq	(nikha)+ak+tuq
humunngaqqa	hu+(munngaq)+qa
qumniq	(qum)+niq
puujjuktuq	p+(uujj)+uk+tuq
tirikhaq	(tiri)+khaq
tuqhualiqiji	(tuqh)+ualiqiji
uniq	(u)+niq
talvatuaq	(talva)+tuaq
aullaqtinnagu	aullaq+(tinna)+gu
aullarnatik	a+(ullarna)+tik
makkaq	(makk)+aq
ikpingnarniq	(ikpingnar)+niq
qaajurnaqtuq	qa+(ajur)+naq+tuq
paniqhiivik	(paniqhii)+vik
quanaqtuq	qu+(a)+naq+tuq
atqit	(atq)+it
nipitqaqtaut	(nipitqaqta)+ut
tiiliurvik	(tiiliur)+vik
makitaa	m+(aki)+taa
pingahut	(pingahu)+t
aquijuq	(aqui)+juq
alaiqtuq	a+(la)+iqtuq
ilaani	(ila)+ani
aquut	(aqu)+ut
ihumaittuq	(ihuma)+it+tuq
qimiriaq	qi+(mi)+riaq
tuqujuq	(tuqu)+juq
kukiktaa	(kukik)+taa
aqilummaaq	a+(qilumm)+aaq
itqarijaa	(itqa)+rijaa
taiguaqtuq	(taigu)+aq+tuq
arvinilik	(arvini)+lik
higguk	(higgu)+k
iglugiik	(iglu)+giik
taqturun	ta+(qtur)+un
attirniik	att+irni+(i)+k
imani	(im)+ani
kivanmun	(kivanm)+un
haqiktaut	(haqikta)+ut
huliva	(huli)+va
aittuutigijaa	(aittuuti)+gijaa
amaamakhaq	a+(maama)+khaq
angajugiit	(angaju)+giit
nungulaittumut	(nungulaittum)+ut
uquiqtuq	(uqu)+iqtuq
pitikhuqtuq	(pitik)+hu+qtuq
situa	situ+(a)
nirihuiqtinnanga	(niri)+huiq+tinna+nga
allaijaijuq	(allaij)+aijuq
apiqhijuq	(api)+qhi+juq
hitaakiq	(hitaaki)+q
ikuutaq	(ikuut)+aq
tikinnahi	tikin+(na)+hi
qiplaqhiqtuq	(qiplaqh)+iqtuq
tariurnittuq	tariu+(rn)+it+tuq
nutaqqijuq	n+(utaqqi)+juq
qulliq	(qu)+lliq
niritinnagit	niri+(tinna)+git
aajjikkutaa	a+(ajjikku)+taa
nutaqqat	(nuta)+qqat
aavaqtuq	(aav)+aq+tuq
hulivin	(huli)+vin
sikiiraqtuq	(sikiir)+aq+tuq
angirjuaq	a+(ngi)+rj+uaq
uugaq	(uu)+gaq
mmaamak	m+(maamak)
nangiarnaqtuq	(nangiar)+naq+tuq
uqhurjuaq	(uqhurjua)+q
angilrarvik	(angilr)+arvik
aquplingajuq	(aqupl)+ingajuq
nuna	(nuna)
aarluqtuq	(aarluq)+tuq
anuqhiqtuq	(anuqh)+iqtuq
tallak	(ta)+llak
tamapta	(tamap)+ta
himmauhiktaa	hi+(mmauhik)+taa
qiqaijaluarvia	qi+(qaijaluarvia)
napariaq	(napa)+riaq
quunilaqijuq	qu+(uni)+laqi+juq
kipkaq	(kipka)+q
hivullirmik	hi+(vullir)+mik
akimajuq	(akima)+juq
tunmiraq	(tunmira)+q
akkiutaq	a+(kki)+ut+aq
amiiqtaa	(ami)+iq+taa
maamaut	(maama)+ut
tupagumitaaqtuqtuq	tupag+(umitaaq)+tuq+tuq
hivuniq	(hivu)+niq
pilgujuq	p+(ilg)+ujuq
qitirmiut	qi+(tir)+miut
utkuhikhaq	(utkuhi)+khaq
wantsmore	(wantsmore)
ammak	(a)+mmak
auguiqtuq	(augu)+iqtuq
haujaa	(hau)+jaa
iguttaq	(igutt)+aq
ihaqqut	(ihaqq)+ut
ilujuq	(il)+ujuq
pingahuraaqtuq	(pingahu)+raaq+tuq
pitikhik	(pitik)+hik
kuungajuq	(kuunga)+juq
ajjigijaa	(ajjigijaa)
aajjigiiktuk	a+(ajjigiiktu)+k
anik	a+(ni)+k
qijuk	qi+(juk)
arjaijarvik	(arjaij)+arvik
qamauk	qa+(mauk)
apittaaq	(api)+ttaaq
quinaktuq	(quin)+ak+tuq
aaktuqtuq	a+(ak)+tuq+tuq
hikunngiqtuq	hiku+(nng)+iqtuq
piksa	p+(iksa)
iluviq	(iluv)+iq
anikkurijuq	(anikkuri)+juq
huvak	(hu)+vak
ihaqutaq	(ihaquta)+q
nirjun	(nirj)+un
iluani	(ilu)+ani
kapijaa	ka+(pi)+jaa
kanangnaqtuq	ka+(nang)+naq+tuq
kannguhuktuq	ka+(nn)+gu+huk+tuq
nipitirun	(nipitir)+un
atqun	(atq)+un
nuliilgahuk	(nuliilg)+a+huk
aallangajuq	(aallanga)+juq
uqquuqun	(uqquuq)+un
anmun	(anm)+un
inukpagjuaq	(inukpagju)+aq
akulrutaaqtuq	a+(kulruta)+aq+tuq
atqunarnirujuq	(atqunarniru)+juq
qilalugaq	(qilalug)+aq
taluquaq	(taluqu)+aq
uniaqtaa	(uni)+aq+taa
huqullaaqtuq	hu+(qull)+aaq+tuq
tuqungajuq	(tuqunga)+juq
naluktuq	(na)+luk+tuq
hivunniriiqtuq	hivun+(niri)+iqtuq
qaluraun	(qalura)+un
qirnariktuq	qi+(rna)+rik+tuq
katittut	(kat)+it+tut
milugiaq	(milu)+gi+aq
naammajjavuhi	(naammajjavu)+hi
nujaiqtuq	(nuja)+iqtuq
hila	(hila)
quanaqpiaqqutit	(quanaqpiaqqu)+tit
kiijaa	ki+(i)+jaa
tigliktuq	(tiglik)+tuq
hainngihuktuq	(hainngi)+huk+tuq
angmajuq	(angma)+juq
nigaq	(nig)+aq
uplaami	(uplaa)+mi
kihaq	(kih)+aq
qilaaq	(qila)+aq
qakuguliqaak	(qakugu)+liqaak
takhijuq	(tak)+hi+juq
amaqqut	(ama)+qqut
ilgak	(ilga)+k
inikhaittuq	(inikha)+it+tuq
ungalaq	(ungal)+aq
aannuraat	(aannuraa)+t
mihuraq	(mihur)+aq
situasaaluti	situ+(asaal)+uti
pallukaqtuq	p+(alluk)+aq+tuq
arnannait	a+(rnanna)+it
qimujuittuq	qi+(muju)+it+tuq
tipaittuq	(tipa)+it+tuq
kakilahaijuq	(kakilah)+aijuq
avguijuq	(avgui)+juq
taijaa	ta+(i)+jaa
umingmaaq	umingma+(a)+q
tarraqtuqtuq	(tarraq)+tuq+tuq
kamngit	k+(a)+mngit
aulatti	(aulatti)
tallimat	(talli)+ma+t
qavvik	qa+(v)+vik
tuvirrat	(tuvirrat)
aqu	(aqu)
qakuqtaq	qa+(kuqt)+aq
kublu	(ku)+blu
uuktuqtuq	(uuk)+tuq+tuq
arviq	(arv)+iq
niaqurluktuq	(niaqur)+luk+tuq
ingniquti	(ingniq)+uti
ikittaun	(ikitta)+un
qilirniq	(qilir)+niq
quviahuujuq	(quviahu)+ujuq
pamialluk	(pamiall)+uk
imiqtaun	(imiqta)+un
kuvjaqtaa	(kuvj)+aq+taa
igluaq	(iglu)+aq
kitkut	ki+(tk)+ut
havangnatin	havang+(na)+tin
qaluraut	(qalura)+ut
ublukittuq	(ublu)+kit+tuq
haunittiariik	(haunittia)+riik
unnuaq	(u)+nnuaq
aippaagu	(aippaagu)
kakilahak	(kakilah)+ak
aagut	a+(ag)+ut
umilruk	(umilr)+uk
iigijaa	(ii)+gijaa
anujijuq	(anuji)+juq
algaak	(alga)+ak
iliranaqtuq	(ilira)+naq+tuq
avataani	(avata)+ani
aqaguunnukpat	aqagu+(unnuk)+pat
tikitaa	(tiki)+taa
takujaa	ta+(ku)+jaa
mitqun	(mitq)+un
kikkariktuq	ki+(kka)+rik+tuq
minguktaa	(minguk)+taa
hilalliq	(hila)+lliq
auktirut	(auktir)+ut
ilihaiji	(ilihai)+ji
nakahungnaq	(nakahung)+naq
hamanirmiut	(hamanir)+miut
nigaqtuqtuq	(nigaq)+tuq+tuq
itipjaaqtuk	(itipja)+aqtuk
tunihijuq	(tuni)+hi+juq
nipittuq	(nipi)+t+tuq
tipi	(tipi)
aappak	(aappa)+k
ikaaqtuq	(ika)+aq+tuq
patuqun	(patuq)+un
alianaigijaa	(alianai)+gijaa
angmaqtirun	(angmaqtir)+un
alilajuq	(alila)+juq
makpiraqtuq	(makpir)+aq+tuq
aajjikiiktuk	a+(ajjikiiktuk)
takkuani	(takku)+ani
alappaa	(alappa)+a
akin	a+(k)+in
ikaaraq	(ikaar)+aq
titiraut	(titira)+ut
annivik	(anni)+vik
kamik	ka+(mi)+k
napu	(napu)
millalauqtuq	(millalauq)+tuq
aumaallaktuq	a+(umaall)+ak+tuq
hukatirun	hu+(katir)+un
havangnani	havang+(nani)
patiriaqhijuq	(patiria)+qhi+juq
ikpiguhungniq	(ikpiguhung)+niq
iqhigijaa	(iqhi)+gijaa
quanaqpiaqqutik	(quanaqpiaqqu)+tik
ijjuaqhijuq	(ijjua)+qhi+juq
puptan	(pupta)+n
palriaqtaa	p+(alri)+aq+taa
pijumanngittuq	(pijuma)+nngit+tuq
nirlivik	(nirli)+vik
kajumiittuq	ka+(jumi)+it+tuq
aqhaliat	(aqhalia)+t
katittijuq	ka+(ti)+ttijuq
hingik	hi+(ngik)
qugluktaaqtuq	(quglukta)+aq+tuq
ukhuviaqtaq	(ukhuvi)+aq+taq
kingmingnak	ki+(ngmingna)+k
amiijaijuq	a+(miijai)+juq
puukattaq	(puukat)+taq
hikuuti	(hiku)+uti
uqaqti	(uq)+aq+ti
maraaqtuq	(ma)+raaq+tuq
ikimajuq	(ikima)+juq
pilaun	(pila)+un
aglu	(aglu)
ikkalruq	(ikka)+lruq
kapittuq	ka+(p)+it+tuq
pitikhaqtuq	(pitik)+haq+tuq
tikiq	(tiki)+q
kamiktuq	ka+(mik)+tuq
uluriahuktuq	(uluria)+huk+tuq
qarritijaa	qa+(rriti)+jaa
hivajaqtuq	(hivajaqt)+uq
tamuqtaa	(tamuq)+taa
talrit	(tal)+rit
kigut	(kig)+ut
qablu	(qablu)
nipitqaqtaun	(nipitqaqta)+un
iviangiq	(iviangi)+q
tigumiaqtaa	(tigumi)+aq+taa
kaiptaq	ka+(ipta)+q
tuktuvak	(tuktuva)+k
aullautijaa	aulla+(uti)+jaa
nulialik	nulia+(li)+k
piphi	(piphi)
mitqukittuq	(mitqu)+kit+tuq
uqpik	(uq)+pik
aiviq	a+(iv)+iq
navvannguqtuq	(navvann)+guq+tuq
qilgiqtaqtuq	(qilgiq)+taqtuq
aquti	(aq)+uti
qunguhiq	(qunguhi)+q
hivajaun	hi+(vaja)+un
ikilik	(iki)+lik
kakkiijauti	(kakkiija)+uti
nunakkuurutik	(nunakkuuru)+tik
kihiani	k+(ihi)+ani
angiqtuq	a+(ng)+iqtuq
uluagullik	ulu+(agul)+lik
akuruti	(akur)+uti
kijuaqtuqtuq	ki+(juaq)+tuq+tuq
qingalik	(qinga)+lik
nikpaqtuq	(nikp)+aq+tuq
nungutaa	(nungu)+taa
auma	(auma)
puvak	p+(u)+vak
qattinnaktuq	qa+(ttinn)+ak+tuq
amiq	(am)+iq
nipikhauti	n+ipik+(ha)+uti
qunmuujuq	qu+(nmu)+ujuq
tajarniq	ta+(jar)+niq
qalruttuq	(qalru)+t+tuq
qunguhiqtaun	(qunguhi)+qta+un
tuvak	(tu)+vak
uhiliqpallaaqtuq	(uhi)+liq+pallaaq+tuq
aqagumunngaqqqat	aqagu+(munngaq)+qqat
takhijaa	(takhi)+jaa
aarluktuq	(aa)+rluk+tuq
arnaq	(ar)+naq
ippakhat	(ippakha)+t
pilauti	(pila)+uti
tuquttijuq	(tuqu)+ttijuq
atauttikkun	(atautti)+kkun
ugjulik	(ugju)+lik
ukalaaq	(uka)+laaq
quaqhalaarut	(quaqhalaar)+ut
ingattaqtuq	(ingatt)+aq+tuq
hitujuq	(hitu)+juq
im’ruti	(im’r)+uti
hivajaqtaaqtuq	(hivajaqt)+aaq+tuq
ihumagijaa	(ihuma)+gijaa
pingattiut	(pingatti)+ut
qiqailruq	qi+(qa)+ilruq
kappiahuktuq	(kappia)+huk+tuq
aqagu	(aqagu)
tigvaqtuq	(tigv)+aq+tuq
kakkiijaun	(kakkiija)+un
apluqtuq	a+(pluq)+tuq
kivjautik	ki+(vjau)+tik
naniriaq	(nani)+riaq
in’ngaqtuq	(in’ng)+aq+tuq
tariukkuuqtuq	tariu+(kkuuq)+tuq
uhiijaqtuq	(uhi)+ijaqtuq
ani	(a)+ni
nutqaqtuq	(nutq)+aq+tuq
qanait	qa+(na)+it
kukiktuq	(kukik)+tuq
qaniriktuq	(qani)+rik+tuq
tingiq	(ting)+iq
nukariit	nuka+(rii)+t
tunujaq	(tunujaq)
uujuq	(u)+ujuq
miluilitaq	(milu)+ilitaq
quijuq	qu+(i)+juq
qakuqhijuq	qa+(ku)+qhi+juq
taaqhivalirvia	ta+(aqhival)+irvia
uaqhijuq	(uaqhi)+juq
ilannariik	(ilanna)+riik
nuliilgaqtuq	(nuliilg)+aq+tuq
piritaa	(piri)+taa
qaqquliuqtuq	qa+(qqu)+liuq+tuq
qupanuaq	qu+(panu)+aq
kipihimajuq	ki+(pihima)+juq
ujuruk	(ujuru)+k
aliktuq	(alik)+tuq
aullaqtinnanga	aullaq+(tinna)+nga
qiviuq	(qivi)+uq
tuvjaqhijuq	(tuvja)+qhi+juq
uumman	(uumma)+n
aijaahiqtuq	(aijaahiq)+tuq
kaaktuq	(ka)+ak+tuq
annujjutijut	a+(nnujjutij)+ut
ublu	(ublu)
ulapqiujaqtuq	(ulapqiuj)+aq+tuq
taimaatun	(taima)+atun
taimaaqtuq	(taima)+aq+tuq
aqqaluakhaq	(aqqalua)+khaq
kingumut	ki+(ngum)+ut
paunngaq	(paunn)+gaq
kina	ki+(na)
ijaruqtuq	(ija)+ruq+tuq
angujaa	(angu)+jaa
paniqhijjiqturvik	(paniqhijjiqtur)+vik
pitiktaa	(pitik)+taa
panik	(pani)+k
