kivjautik	ki+(vja)+uti+k
ipirakhat	ip+(ira)+khat
annuktuq	an+nu+(ktu)+q
qaritauyaviliqinikkut	qa+ritauya+(vi)+liq+inikk+ut
ilulilik	il+(uli)+lik
ipigaun	ip+(iga)+un
nunakkullu	nuna+(kku)+llu
cgs	(cgs)
qitaujaq	qi+(ta)+uja+q
imakkuurniq	ima+(kkuur)+niq
qihik	qi+(hi)+k
hivayautaa	hivay+a+(u)+taa
pivalliayaangat	pi+vall+i+(a)+yaang+at
ingniquti	ing+niq+(uti)
angiptak	angi+(pta)+k
aannialirnaittumik	a+anni+a+(lirnait)+tu+mik
annguti	a+(nng)+uti
kuniktaa	(kuni)+kt+a+a
igjuuk	i+(gju)+uk
mirriaqtarluniluunniit	mirria+(qtarlu)+nilu+un+ni+it
nurraittuarjuk	nur+ra+(ittu)+ar+ju+k
pitikhik	pi+ti+k+(hi)+k
nivaktuq	(niva)+kt+uq
tamainik	t+ama+(i)+nik
miqhuqtuq	mi+(qhu)+qtuq
uvanga	(uva)+ng+a
havikhavikhaq	hav+(ikha)+vikhaq
nirrit	ni+r+(r)+it
aullarnani	a+ulla+(rna)+ni
ungahikkutigiiktut	ung+a+(h)+ikkut+ig+iik+tut
tuhaumapkaitjutinik	tu+h+aum+a+pka+(itjut)+i+nik
qaangiqtaa	qa+(angi)+qtaa
aaktuqtuq	a+(aktu)+qtuq
ayuilugitlu	ayu+(i)+lu+git+lu
inuuhikhanut	inu+(uhi)+kha+nut
kigun	ki+gu+(n)
qauyihainirnik	qa+uyi+ha+(i)+nir+nik
aullarnanuk	a+ulla+(rna)+nuk
ihivriurningit	ihivr+i+(urn)+i+ngit
ilihaiji	ili+ha+(i)+ji
ilaujut	i+la+(uj)+ut
qingaq	qi+(ng)+aq
nalvaaqhiutikharni	(nalva)+aq+hi+uti+khar+ni
hivayaqtukharnik	hivay+a+(qtu)+khar+nik
patiktaa	p+at+(i)+kt+a+a
ulapqiujaqtuq	ul+apq+(i)+uja+qtuq
amaulikkaaq	ama+(uli)+kkaaq
tuuq	tu+(u)+q
kukkikniq	(kukkik)+niq
kipkaqtuq	kip+(k)+a+qtuq
pidjutikhainik	pi+(dj)+utikh+a+i+nik
titirauhiq	titir+a+(uhi)+q
ukunani	uk+(un)+ani
qurlurniq	qu+(rlu)+r+niq
qablunaaq	qa+blu+(na)+aq
nauliktaa	na+(uli)+kt+a+a
nattiaq	na+(ttiaq)
pujuq	(p)+u+juq
tivjarluktuq	t+ivj+(arlu)+kt+uq
haattuq	ha+(a)+tt+uq
aliqti	al+i+(q)+ti
iji	(i)+ji
itqujaq	it+qu+(ja)+q
aqhailitaq	aq+ha+(ili)+taq
atauhiujuq	at+a+(uhi)+u+juq
havaqkvia	hav+a+(qk)+via
ilvit	i+(lvi)+t
aullaqtinnatik	a+ull+aq+(tinna)+tik
munagiyakhaingit	munag+i+(yakha)+i+ngit
publiun	pu+(bli)+un
nunatigutlu	nuna+(t)+igut+lu
pualrihaqtuq	pu+alri+(ha)+qtuq
hanaqidjutikharnik	ha+n+aq+idjut+(i)+khar+nik
igluqpanik	igluqpa+(ni)+k
aallanguqtihimajait	aall+a+(ngu)+qti+hima+jait
huvak	(hu)+vak
aulahimaarniaqtuq	aula+(himaarni)+a+qtuq
kiglingani	ki+(gli)+ng+a+ni
hunagaq	hu+na+(g)+aq
kavamatkunni	ka+(vama)+tk+un+ni
aulapkaiyiingit	aula+pka+(iyi)+i+ngit
piqaqtun	pi+(q)+aqtun
pualrihaqtaa	pu+alri+(ha)+qtaa
qunguhiqtaun	qu+ng+u+(hiqta)+un
hanajaa	h+an+(a)+jaa
upalungairutikhangit	up+a+lu+ng+(air)+utikh+a+ngit
maliktut	mal+i+(ktu)+t
aalla	a+(alla)
aku	a+(ku)
ilitturijauhimajut	ili+t+tur+(ijau)+hima+jut
kanatami	ka+na+(t)+a+mi
najakhaq	na+(ja)+khaq
pinahuarutingit	pi+nahu+ar+u+(ting)+it
uniaqtuq	un+(i)+a+qtuq
kasiliiqtuqtut	ka+s+ili+(iqt)+uq+tut
avaliittuq	ava+(li)+ittuq
havakvingnik	hav+ak+(vi)+ng+nik
algaun	alg+(a)+un
hakongak	ha+(konga)+k
higjariaq	hi+(gja)+riaq
ayuiqhimayat	ayu+i+(qhima)+ya+t
naunaiyaiyaangat	naun+a+iya+(i)+yaang+at
kigutiliqiji	kigut+(i)+liq+iji
ikumadjutiini	iku+(ma)+djut+iini
ikayukhimaanginaqtun	ikayukhi+ma+angi+(n)+aqtun
hamlatkunullu	ham+l+at+(ku)+n+ullu
nipikhaut	n+ip+(ikha)+ut
tupagumitaaqtuqtuq	tu+p+(agumita)+aqtu+qtuq
tikitpata	t+iki+(tp)+at+a
publa	p+ub+(l)+a
aannuraaqarvik	a+an+n+(ura)+aq+arvik
ilikkuurujuq	ili+(kkuur)+u+juq
hatqiumayuniklu	ha+tqi+(umayu)+nik+lu
anurikittuq	a+nur+(i)+k+ittuq
aulatitilihaartiluni	aula+tit+(ilihaarti)+lu+ni
atuqhugu	at+u+(qhu)+gu
atuaqtaun	at+u+(aqta)+un
kavamatkuni	ka+(vama)+tk+uni
kialaqijuq	ki+(alaqi)+j+uq
ilihaqtittinighakkullu	i+li+ha+(qtitti)+ni+g+hak+k+ullu
tuhunnaq	tu+(hunn)+aq
iqquq	(iqqu)+q
taivagait	ta+i+(vaga)+it
alianaigijaa	al+ia+na+(i)+gijaa
aqiaruaqtailivut	a+qi+aru+(aqtailiv)+ut
punniq	pu+(nni)+q
qaritauyakkuurutaani	qa+ritauya+(kkuur)+u+taa+ni
tunihijuq	tu+ni+(hi)+j+uq
uliisiqtuq	uli+(is)+i+qtuq
nakit	na+(ki)+t
hivuqqamun	hiv+(uqqam)+un
qajangnaitkutikhanik	qa+j+ang+na+it+(k)+utikh+a+nik
mihuraq	mi+(hu)+raq
niujijuq	ni+(uji)+j+uq
tamaphi	t+ama+(phi)
atqun	a+(tqu)+n
havakvingnit	hav+ak+(vi)+ngni+t
imiqtaqtuq	(imiqta)+qtuq
ilulliik	ilu+(lli)+ik
pinahuarutikhanik	pi+nahu+ar+u+(ti)+k+ha+nik
humik	(hu)+mik
puhitaq	pu+(hi)+taq
kimik atiqaqqin	ki+(mik )+a+tiqaq+qin
himauhiplugitlu	hi+(mauh)+iplu+git+lu
aliktuqtaa	al+i+(ktu)+qtaa
anuraaqtuq	a+nur+(a)+a+qtuq
niviuvak	n+ivi+(uva)+k
hiqanaakhiut	hiqan+a+a+k+hi+(ut)
pihukhimmaaqtillugu	pi+hu+(khimmaa)+qti+llu+gu
titiraqhimablugit	ti+tiraq+hi+ma+(blu)+git
uhiaruti	(uhiar)+uti
patau	pa+ta+(u)
aquijuq	(aqu)+i+j+uq
hivayaqlugu	hivay+a+(q)+lu+gu
aanniqtailinirmut	a+anni+(qtaili)+ni+rm+ut
nujuaqtujuq	nuju+(aqtu)+j+uq
hain’rihuktuq	hain+’ri+(hu)+kt+uq
taluq	ta+(lu)+q
ikuallaktuq	iku+(alla)+kt+uq
ikuallautikhaq	iku+(alla)+utikh+aq
halumailruq	ha+(lumail)+r+uq
apiqhuiji	ap+iq+(hu)+ij+i
avalliq	ava+(lli)+q
algaut	alg+(a)+ut
uqqariktuq	(uqqari)+kt+uq
ipijuq	ip+(i)+j+uq
ayungnautiqaaqyuaqan	ayu+ngna+(utiqa)+aq+yuaqan
quanaqpiaqqutin	quana+qpi+(aqq)+ut+in
niriuktugut	niri+(uk)+tugu+t
kikiaktuqtaa	ki+ki+(aktu)+qtaa
atpa	a+(tpa)
qiniqhiayunun	qin+iqhi+a+(yu)+n+un
ikayuqluniluunniit	ik+ayu+(qlu)+nilu+un+ni+it
inukhijuq	inu+(khi)+j+uq
irnituaq	irn+i+(tu)+aq
ataniq	a+(ta)+niq
kakkiviaq	ka+(kkivi)+aq
kangiqhihurnaqtuq	kang+iqhi+(hu)+rn+a+qtuq
munngarman	mu+(nnga)+rma+n
munaqhi	mu+na+(qhi)
aputaijaqtaa	ap+(utaija)+qtaa
iluvirvik	ilu+(vi)+rvik
apun	a+(p)+un
taqak	ta+(qa)+k
attariktuq	att+a+(ri)+kt+uq
utaqqijuq	utaqq+(i)+j+uq
ilanganni	i+la+(ngan)+ni
titiqqitaa	titiq+(qi)+taa
immiuqtuq	im+(mi)+u+qtuq
higaaq	hig+aa+(q)
anginirmik	a+(ng)+inir+mik
pukaraq	pu+(kara)+q
ilihimmariktuq	ilihi+(mmari)+kt+uq
uuktuun	uuk+tu+(un)
auma	a+(uma)
attirniit	att+ir+(ni)+it
katimavik	kat+ima+(vi)+k
ingniqut	ing+niq+(u)+t
avguqtauvaktuq	av+guqta+(uva)+kt+uq
ilaranaqtuq	i+(larana)+qtuq
tipaakuun	tipa+(aku)+un
tuglia	tu+(gli)+a
katilvik	ka+(ti)+lvik
nutqangajuq	nu+(tqa)+nga+juq
ukiuq	u+(ki)+uq
anaqtuq	(an)+a+qtuq
anaujaa	a+(nau)+jaa
qaaq	qa+(a)+q
ublumi	ub+lu+(mi)
iilluut	i+(illu)+ut
aquani	(aqu)+ani
hivuralik	hiv+ur+(a)+lik
pilauti	pi+(la)+uti
ilitturipkaidjutinik	ili+t+turip+ka+(idjut)+i+nik
ihuarhaqtauhimayumi	i+huarha+(qtau)+hima+yumi
kukuktuq	ku+(ku)+kt+uq
tunijauvikhait	tu+ni+(jau)+vi+kha+it
atukkat	at+u+(kk)+at
ukiunilu	uk+i+(u)+nilu
niuviqtittiyutinminiinnaq	ni+uv+i+(qtitti)+yut+in+mi+ni+in+naq
qumniq	qu+(m)+niq
tunmirarijaa	tu+n+(mira)+rijaa
atuglugu	at+u+(glu)+gu
boddy	(boddy)
apiqhijuq	ap+iq+(hi)+j+uq
taimaatun	t+a+i+ma+(at)+un
tarjukkuuqtuq	t+ar+j+(ukku)+u+qtuq
annujjutijut	an+nu+(jjutij)+ut
arnalluq	arna+(lluq)
maniliqidjutiliqiyunik	man+ili+q+(idjut)+iliq+iy+u+nik
umingmaktuumi	umingma+(ktu)+u+mi
pualuliuqtuq	pu+al+(uli)+u+qtuq
tujurmiaq	tu+(jurmi)+aq
uuktuutikhangitnik	uuk+tu+(utikha)+ngit+nik
qaplu	qa+p+(lu)
talliman	t+al+(lima)+n
ainiaqtutin	a+(i)+ni+aqtu+t+in
hanaqitittiaqtauyukhakkut	ha+na+(qit)+ittia+qtau+yukh+ak+kut
ilikkuuqtuq	ili+(kku)+u+qtuq
titiqqittijuq	t+itiq+q+(itti)+j+uq
naalauti	na+(ala)+uti
huiqtunut	hu+(iqtu)+nut
munakhiyut	mu+na+(khi)+yut
pihiqqaiqhuni	pi+(hiqqaiqhu)+ni
aarluktuq	a+(arlu)+kt+uq
uunaqun	uun+(aq)+un
haavittuq	ha+(av)+ittuq
havaktuliqiyikkutni	hav+akt+(u)+liq+iy+ikkut+ni
aittuutigijaa	a+ittu+(uti)+gijaa
aujijaqtuqtuq	a+(ujij)+aqtu+qtuq
aagut	aa+(gu)+t
qalurautic	qa+lura+(uti)+c
ilitariyauhimayut	ilit+(ariyau)+hima+yut
apkaluktaqtuq	a+pka+(lu)+kta+qtuq
kiillinngup	ki+(illinng)+up
agluliuqtuq	a+glu+(li)+u+qtuq
kina	ki+(na)
sikuurvik	si+(kuu)+rvik
nutaqqat	n+utaqq+(a)+t
innaqtuq	i+(nna)+qtuq
humunngauyit	hum+unng+(auy)+it
atungak	at+u+(nga)+k
uquutaq	(uqu)+ut+aq
naviktaa	na+(vi)+kt+a+a
upalungaikhimayuq	up+a+lu+ng+(ai)+kh+ima+yuq
angijut	angi+(ju)+t
unaguiqhivik	(unaguiqh)+iv+ik
tamayaniklu	t+ama+(ya)+nik+lu
aqajat	a+(qaja)+t
kakilahaaq	ka+kila+(ha)+aq
maligaghanik	mal+i+(ga)+gha+nik
munagidjutikharnik	munag+i+(djuti)+khar+nik
niqinnarij	niq+i+(nnari)+j
hanajuq	ha+(na)+j+uq
tingmiyaangat	tingm+(i)+yaang+at
ingiuqtuq	i+ngi+(u)+qtuq
haamlakunnut	(haamla)+k+un+nut
nuluq	nu+(lu)+q
tivjaq	t+ivj+(a)+q
alappaaqtuq	a+(lappaa)+qtuq
atuqpaktaptingnik	atuq+pa+k+(ta)+pting+nik
atuqtakhangit	at+uqt+(akha)+ngit
hivuliqtiqaqhutik	hivul+iqt+(iq)+aqhu+tik
ilaqatigiikhutik	i+la+(qatigi)+ikhu+tik
angiqtuq	a+(ngi)+qtuq
ilihaqtuq	ili+ha+(qtu)+q
katittijuq	ka+(titti)+j+uq
nakahungnaq	na+ka+(hungn)+aq
haumingmuuqtuq	ha+(umi)+ngmu+u+qtuq
qiqijuq	q+iq+(i)+j+uq
frank	fr+(an)+k
auviq	(auvi)+q
havagviangit	hav+a+gv+(i)+a+ngit
pulaliqtuq	pu+(la)+li+qtuq
unnuaq	un+n+(u)+aq
upluqhiun	u+pl+(uqhi)+un
mamiahuktuq	(mamiahu)+kt+uq
ungirun	(ungir)+un
iglugiik	i+glu+(gi)+ik
uhiarut	(uhiar)+ut
hadjamin	ha+dja+(mi)+n
angiyuqaanguyuqlu	ang+(iyuqaangu)+yuq+lu
hamanillu	ha+man+(i)+llu
ikayuyuktut	ik+ayu+(yu)+kt+ut
kikkariktuq	ki+(kkari)+kt+uq
iqqakuurun	iqqaku+u+(r)+un
nungulaittumut	n+ungul+a+ittu+(mu)+t
qinmiarjuk	qi+(nmi)+ar+ju+k
qitiq	qi+(ti)+q
titiqqat	t+itiq+q+(a)+t
ikaaraq	ik+a+(a)+raq
kuapuriisingit	ku+apur+ii+si+(ngi)+t
nujaq	(n)+uja+q
humiliqaak	hu+mi+(liqaa)+k
ihumagiyaingit	i+hum+(agiya)+i+ngit
atuqtuujaq	at+u+(qtu)+uja+q
kiguhiqiji	ki+guhi+(q)+ij+i
angiyutlu	a+(ng)+iyut+lu
aqhaliat	aq+ha+(li)+at
haqiktaun	ha+(qikta)+un
manik	(ma)+nik
ila	i+(la)
taliq	t+al+(iq)
angulajuq	ang+u+(la)+j+uq
qianngaqtuq	qi+(anng)+a+qtuq
kuugjuami	ku+(ugju)+a+mi
naunaiyagiikhimayutlu	naun+a+iya+(giikhima)+yut+lu
uaqhiti	(uaqhi)+ti
ivjaruti	ivj+ar+(uti)
qiqittiivik	q+iq+(itti)+iv+ik
iqitquq	iq+it+(q)+uq
nauvalliapluni	na+u+vall+(ia)+plu+ni
tukhuktaa	t+uk+(hu)+kt+a+a
ungalaq	ung+a+(la)+q
titiraqti	titir+a+(qti)
qinmiqtuqtuq	qin+mi+(qtu)+qtuq
nuliilgaqtuq	nul+i+(ilga)+qtuq
tahapkuanginnaungitunut	ta+ha+p+(ku)+angi+nnau+ngit+unut
puvipqurnaqtuq	p+uv+(ipqu)+rn+a+qtuq
aullautijaa	a+ulla+(uti)+jaa
itkattuq	(itka)+tt+uq
hingirniq	hi+n+(gi)+r+niq
hiqquqtijjut	hiqquqti+jj+(ut)
makanngittuq	m+ak+(a)+nng+ittuq
puuvjaaqtuq	pu+(uvja)+a+qtuq
pijumatujuq	p+ij+u+(matu)+j+uq
tikinahuarutit	t+iki+(nahuar)+uti+t
nagjungmiktaa	na+(gju)+ng+mik+taa
naunaikhittiarumaguvit	naun+ai+(k)+hi+ttia+ruma+gu+vit
upluqtujuq	u+pl+(uqtu)+j+uq
uugaq	u+(u)+gaq
nappaqtiriyiit	na+pp+aqt+(iriyi)+it
titiqqallu	t+itiq+q+(a)+llu
manikhainik	man+ik+ha+(i)+nik
aipagiya	a+(i)+pagiya
tuhapkinikkutlu	tu+ha+(pki)+nik+kut+lu
uqauhiliriji	uq+au+(hilir)+ij+i
aki	a+(ki)
ikayutikharniklu	ik+a+(y)+utikh+ar+nik+lu
aulahimarniaqtun	aula+(himar)+ni+aqtun
amiiqtaa	a+mi+(i)+qtaa
mikinnuaq	miki+(nnu)+aq
tuniuqagiaqaqtait	tu+ni+(uqagiaqaq)+t+a+it
napuliut	na+(puli)+ut
havautit	hav+a+(uti)+t
qauyihaqtiup	qa+uyi+ha+(qti)+up
pidjutikhaliuqlutik	p+idjut+(ikha)+liuq+lutik
kiglukkuuqtuq	ki+(glukku)+u+qtuq
elizabeth	(elizabet)+h
aallannguqpataluunniit	aall+a+(nnguqpata)+lu+unni+it
aullarnahi	a+ulla+(rna)+hi
havakhimaarlutik	hav+ak+(hima)+ar+lutik
kiujuq	ki+(u)+j+uq
qinmiq	qin+mi+(q)
maniilaq	ma+ni+(ilaq)
nani	(na)+ni
quaqhalaarun	qu+aq+ha+la+(ar)+un
quanaqqutin	quana+qq+(u)+tin
uqautivagait	uq+a+ut+i+(vaga)+it
kijjilaqijuq	k+(ijjilaq)+i+j+uq
qajagijuq	qa+(jag)+i+j+uq
nunavunmiunun	nuna+(vunmi)+un+un
avgut	a+(vg)+ut
qugluktaa	qu+(glu)+kt+a+a
atajuq	a+(ta)+j+uq
igliaq	i+(gli)+aq
hiqiraqtuq	hi+(q)+ira+qtuq
ulik	(uli)+k
kihimngiurumajuq	kihimng+i+(u)+ruma+juq
tamainni	ta+(ma)+in+ni
tuattuq	tu+(a)+tt+uq
utaqqiuqtaa	utaqq+(iu)+qtaa
pualrittit	pu+alri+(tti)+t
niqi	ni+q+(i)
ihaqqut	i+haq+(q)+ut
annirutijaa	anniru+(ti)+jaa
akimanahuat	aki+ma+(nahu)+at
nuviqhaqtuq	n+uvi+(qha)+qtuq
malruk	malru+(k)
qayangnaitumik	qa+(yangnai)+tu+mik
maniillat	ma+ni+(illa)+t
pingahut	pi+(ngahu)+t
aippaangani	(aippaa)+ng+a+ni
illaktut	i+(lla)+kt+ut
munarivaktuq	mu+na+(riva)+kt+uq
aannialaqihimajun	a+anni+(alaqi)+hima+j+un
tapkua	ta+p+ku+(a)
tinguk	(ting)+uk
tuhaqtitiliqiyunik	tuhaqt+(it)+iliq+iy+u+nik
qaritauyaliqidjutaani	qa+r+it+auyal+iq+(idj)+u+taa+ni
najak	na+(ja)+k
taliqpik	t+al+(iqpi)+k
ilagiiniaqtun	ilagi+(i)+ni+aqtun
hamilaangitni	(hamilaa)+ngit+n+i
tailoffish	ta+i+(loff)+is+h
igluqpaqaqtunut	igluqpa+(q)+aqtu+nut
qaluraut	qa+lura+(u)+t
ingilraat	i+ngi+(lra)+at
hituaqtuutit	hi+(tuaqtu)+uti+t
piringajuq	pi+(ri)+nga+juq
uqquaq	uq+qu+(a)+q
arnaruhiq	arna+(ruhi)+q
hivajaaqtuq	hiv+aj+(a)+a+qtuq
havagvingni	hav+a+gv+(i)+ngni
naliak	(nalia)+k
aulapkaiyukhat	aula+pka+(i)+yu+khat
havagiaqaqtaingitlu	hav+a+(giaq)+aqt+ai+ngit+lu
apuqtuq	ap+(u)+qtuq
nunauyaliqidjutikharnik	nuna+(uyaliqi)+dj+utikh+ar+nik
qallurautitigutlu	qa+ll+(ura)+utit+igut+lu
qallutiqarvik	qa+ll+(utiqa)+rvik
havaaqhangit	hav+a+(aqha)+ngit
iqaluktuuttiarmi	iqa+luk+(tuutti)+armi
aviktuqhimayumi	av+ikt+u+(q)+hima+yumi
manikhanik	man+(i)+k+ha+nik
ikayuutikhangitlu	ik+ayu+(uti)+kha+ngit+lu
mikitigij	miki+(ti)+gij
ikkit	ikk+(it)
munagiyakhatin	munag+i+(yakha)+tin
pinahuaqtakkut	pinahu+a+(qta)+kkut
havaktauvaktunut	hav+akt+(auva)+kt+unut
malliqtuq	mal+(li)+qtuq
pivallialiuqnikkut	pi+vall+i+(a)+liuq+nik+kut
augiaq	a+(u)+gi+aq
qikiqtaq	qi+kiqta+(q)
angilrauliqtuq	angil+ra+(uli)+qtuq
tunijaa	tu+n+(i)+jaa
tigliktuq	ti+(gli)+kt+uq
aktuutauhungujuq	ak+tu+(utauhung)+u+juq
angilrauniaqpunga	angil+ra+(u)+ni+aq+punga
ivjaqun	ivj+(aq)+un
halraqtuk	ha+(lra)+qtuk
annivilittuq	anni+(vili)+tt+uq
aqhaaqtaujuq	aq+ha+(aqta)+u+juq
aqtuliqtuq	(aqtu)+li+qtuq
kajuqtuq	(kaju)+qtuq
atuqpagainnik	at+u+(qpaga)+in+nik
uuktauti	uuk+t+(a)+uti
omingmak	(omingma)+k
tikitinnagu	t+iki+(tinna)+gu
ungullauti	ungul+l+(a)+uti
qulliq	qu+(lli)+q
inmikkurutikhanik	in+mikk+(uruti)+kh+a+nik
qilgiqtuq	qilg+(i)+qtuq
qunmuktuq	qu+n+mu+(ktu)+q
ihivriungniaqtun	ihivr+i+(ung)+ni+aqtun
hiquriaqtaa	hi+qu+(ria)+qtaa
ihaqutait	i+haq+(u)+t+a+it
atuqtuq	at+u+(qtu)+q
nipiliurun	n+ip+(iliur)+un
inuilaq	inu+i+(la)+q
iguttaq	ig+(ut)+taq
pitqujaa	pi+(tqu)+jaa
qaujimaittuq	qa+(uji)+ma+ittuq
ihivriuqhiji	ihivr+i+(uqhi)+ji
tagjuq	ta+(g)+j+uq
hanalrutit	ha+na+(lr)+uti+t
publaumajuq	p+ub+(lauma)+j+uq
aulatitiyaanganik	aula+tit+(iy)+aa+nga+nik
apirijaa	a+(pi)+rijaa
patiriaqhijuq	pa+tiri+(aqhi)+j+uq
qanittuq	qan+(i)+tt+uq
alluljikkuvit	a+ll+(ulji)+k+ku+vit
aituihimaaqtunik	a+i+tu+(i)+hima+aqtu+nik
tuniyaangat	tu+n+(i)+yaang+at
havautimik	hav+a+(uti)+mik
ilautquyauvakhimayutnin	il+au+(tqu)+yauv+akhima+yut+ni+n
quinangnaqtuq	qu+(ina)+ngna+qtuq
anaqtautiliqiji	an+aq+ta+(uti)+liq+iji
imiraqtuun	i+mir+(aqtu)+un
kiluaqtuq	ki+(lu)+a+qtuq
ikayuktikhailiuktutin	ik+ayu+(kti)+khai+li+uk+tut+in
tamangni	t+ama+(ngni)
uktut	u+(kt)+ut
kuhirniq	ku+(hi)+r+niq
ulapqiujaq	ul+apq+(i)+uja+q
qiluktuq	qi+(lu)+kt+uq
havagvjiiujunut	hav+a+gv+(jiiu)+ju+nut
tukhungajuq	t+uk+(hu)+nga+juq
aumaliuqtuq	auma+(li)+u+qtuq
ikayurutit	ik+ayu+(r)+uti+t
niguaqtautinani	ni+g+(uaqtau)+tina+ni
hanaqittiaqtauyukhanik	h+an+(aqittiaqtauyu)+kh+a+nik
imiarjiraqtuq	i+(miarj)+ira+qtuq
maliqajaujut	mal+i+(qaja)+u+jut
ittuq	(ittu)+q
calvin	ca+(lvi)+n
hivuani	hiv+(u)+ani
piannauhiq	pi+anna+(uhi)+q
uaqtuq	u+(a)+qtuq
hilahiuti	hila+(hi)+uti
ukuariik	u+ku+(ariik)
piittuq	pi+(i)+tt+uq
pingahuraaqtuq	pinga+hu+(ra)+a+qtuq
abluriq	a+b+(luri)+q
nanuqtuq	na+(n)+u+qtuq
akhaluuti	a+(khalu)+uti
ajulaqtuq	aju+(la)+qtuq
takuvaktugut	taku+(vak)+tugu+t
manikkut	(ma)+nik+kut
niujuq	(ni)+u+juq
hiitquqtuq	hi+itqu+(qtu)+q
pinniittuq	pi+(nni)+ittuq
angirjuaq	ang+ir+(ju)+aq
aqiarurliqtuq	a+qi+aru+(rli)+qtuq
ekvana	(ekv)+ana
ipikharniq	ip+(ikha)+r+niq
iviangik	ivi+angi+(k)
tunu	tu+n+(u)
ippakhaani	(ippa)+kha+a+ni
tariuliaqtuq	tari+(uli)+a+qtuq
inuinnaq	inuinna+(q)
aittuutit	a+(ittu)+uti+t
ikumaniq	iku+(ma)+niq
akiti	ak+(i)+ti
ikuutautit	iku+(uta)+uti+t
akhaktuq	(akha)+kt+uq
niaqurliuqtuq	ni+a+qu+(rli)+u+qtuq
tumiruajuq	tu+mi+(rua)+j+uq
aallanik	a+(alla)+nik
qalurauti          c	qa+lura+(uti)+          c
aituqtauhimayut	(aituqtau)+hima+yut
algaiqhijuq	alg+(aiqh)+i+j+uq
anaqtaut	an+(aqta)+ut
betty	(betty)
nigiq	ni+g+(i)+q
nukatugaq	(nukatu)+gaq
niaqurluktuq	ni+a+qu+(rlu)+kt+uq
nulluk	nu+(lluk)
annuk	(an)+nuk
ilitagihimayut	ilit+(agi)+hima+yut
kihimi	ki+(hi)+mi
kipattijuq	kip+(att)+i+j+uq
tamainnut	t+ama+(innu)+t
uvinniit	uv+in+(ni)+it
aulapkainiq	aula+pka+(i)+niq
haamiruti	ha+(amir)+uti
nipliqtuq	n+ip+(li)+qtuq
qablu	qa+(blu)
ingnak	i+(ngna)+k
aktuqtaa	(aktu)+qtaa
hamilaatkuni	(hamilaa)+tk+uni
ihunngaq	i+(hunn)+gaq
havamatkuni	hav+a+(ma)+tk+uni
hikuaqtuq	h+iku+(a)+qtuq
tahapkua	ta+ha+p+(ku)+a
jenny	(jenny)
qilaun	qi+la+(un)
ilujuq	il+(u)+j+uq
nivjaaqtuq	ni+(vja)+a+qtuq
illulik	(illu)+lik
higguk	higg+(u)+k
taktakhakkut	ta+(ktakha)+kkut
angmajuq	a+(ngma)+j+uq
naunaiqyumirumaguvit	naun+ai+(q)+yumi+ruma+guvit
ilauqtuq	i+la+(u)+qtuq
naunaiyaiyi	naun+a+iya+(iyi)
pilgujuq	pi+(lgu)+j+uq
alaiqtuq	a+(lai)+qtuq
ihumaaluktuq	i+hu+(maalu)+kt+uq
nunalingni	nuna+(li)+ngni
utimut	(uti)+mut
auladjutikhat	aula+dj+ut+(ikha)+t
atqaujuq	at+(qa)+u+juq
mitqutmik	mitqu+(t)+mik
hivajauti	hiv+aj+(a)+uti
nanijaa	na+(ni)+jaa
auvvivik	a+(uvvi)+vi+k
iquutikhaun	i+qu+(utikha)+un
ministam	m+inista+(m)
hananngaut	ha+na+(nnga)+ut
naunaittut	na+una+it+(t)+ut
qanuritpin	qa+nur+(itpi)+n
kumilakiguvillu	(kumilakiguvi)+llu
imaa	ima+(a)
kaaphi	ka+ap+(hi)
hilarluktuq	hila+(rlu)+kt+uq
arlingnaqtuq	a+(rli)+ngna+qtuq
pataliqin	p+at+(a)+liq+in
qaujuq	qa+(u)+j+uq
malikhimanikkut	mal+i+(khima)+nik+kut
pingahunik	pinga+hu+(ni)+k
ihumagiyaulluunniit	i+hu+(magiyau)+llu+unni+it
anik	(a)+nik
hulilukaaktunik	huli+lu+ka+(aktu)+nik
mahaktuq	ma+(ha)+kt+uq
ikittuq	(ik)+ittuq
arnautqiik	arna+(utqi)+ik
avatait	av+at+(a)+it
ajunngitaan	a+(ju)+n+ngit+aa+n
analok	an+(alo)+k
ayukhautinut	ayu+(kha)+uti+nut
nuqitaa	nu+(q)+i+taa
qaujihaqtauniit	q+auj+i+ha+(qtau)+ni+it
hivuliqtiuyunik	hivul+iqt+(i)+uyu+nik
taliqpingni	t+al+(iqpi)+ngni
uirniq	(ui)+r+niq
aqiaruaqtuq	a+qi+aru+(a)+qtuq
kiinarni	ki+ina+(r)+ni
amaamak	a+(maama)+k
quviagiyaingit	qu+vi+(agiya)+i+ngit
aalliniq	aall+(i)+niq
tingmikhajuq	tingm+(ikha)+j+uq
aippaq	a+ipp+(aq)
tivjariktuq	t+ivj+(ari)+kt+uq
nalukhitkuvin	na+lu+(khi)+tkuv+in
kapuhigakhaittut	ka+pu+(higakha)+it+tut
umngijauti	(umngija)+uti
akikitqijaujuq	aki+(kitqija)+u+juq
pitquhimayainik	pi+(tqu)+hima+yai+nik
atan’ngujaq	a+t+an+(’ng)+uja+q
niurmiktuq	n+iur+(mi)+kt+uq
pulaaqlugu	pu+(laaq)+lu+gu
akuttijuq	ak+u+(tti)+j+uq
itibjaaqtuq	(itibja)+a+qtuq
qanirluktuq	qa+ni+(rlu)+kt+uq
